,category,price
716,Cooking Essentials ,295.0
717,Cooking Essentials ,490.0
718,Organic Products,445.0
719,Dry & Packaged Food ,170.0
720,Cooking Essentials ,900.0
721,Covid-19 Safety Gears,200.0
722,Covid-19 Safety Gears,200.0
723,Covid-19 Safety Gears,200.0
724,Cooking Essentials ,375.0
725,Cooking Essentials ,260.0
726,Cooking Essentials ,250.0
727,Groceries,230.0
728,Cooking Essentials ,380.0
729,Cooking Essentials ,210.0
730,Cooking Essentials ,425.0
731,Covid-19 Safety Gears,200.0
732,Covid-19 Safety Gears,200.0
733,Covid-19 Safety Gears,200.0
734,Covid-19 Safety Gears,200.0
735,Covid-19 Safety Gears,200.0
736,Covid-19 Safety Gears,200.0
737,Covid-19 Safety Gears,200.0
738,Covid-19 Safety Gears,200.0
739,Covid-19 Safety Gears,200.0
740,Covid-19 Safety Gears,200.0
741,Covid-19 Safety Gears,200.0
742,Cooking Essentials ,415.0
743,Dry & Packaged Food ,530.0
744,Dry & Packaged Food ,990.0
745,Cooking Essentials ,175.0
746,Cooking Essentials ,175.0
747,Cooking Essentials ,480.0
748,Cooking Essentials ,730.0
749,Cooking Essentials ,580.0
750,Cooking Essentials ,450.0
751,Cooking Essentials ,225.0
752,Cooking Essentials ,280.0
753,Cooking Essentials ,150.0
754,Covid-19 Safety Gears,200.0
755,Covid-19 Safety Gears,200.0
756,Covid-19 Safety Gears,200.0
757,Covid-19 Safety Gears,200.0
758,Covid-19 Safety Gears,200.0
759,Covid-19 Safety Gears,200.0
760,Covid-19 Safety Gears,136.0
761,Covid-19 Safety Gears,40.0
762,Covid-19 Safety Gears,5900.0
763,Covid-19 Safety Gears,2000.0
764,Covid-19 Safety Gears,2499.0
765,Cooking Essentials ,145.0
766,Cooking Essentials ,250.0
767,Cooking Essentials ,425.0
768,Hygiene Essentials,160.0
769,Hygiene & Cleaning Essentials,160.0
770,Hygiene Essentials,320.0
771,Hygiene Essentials,399.0
772,Hygiene Essentials,399.0
773,Dry & Packaged Food ,275.0
774,Dry & Packaged Food ,300.0
775,Dry & Packaged Food ,530.0
776,Covid-19 Safety Gears,2999.0
777,Covid-19 Safety Gears,1750.0
778,Dry & Packaged Food ,990.0
779,Dry & Packaged Food ,560.0
780,Dry & Packaged Food ,1050.0
781,Groceries,848.0
782,Groceries,529.0
783,Groceries,529.0
784,Groceries,25.0
785,Groceries,200.0
786,Organic Products,1283.0
787,Cooking Essentials ,618.0
788,Cooking Essentials ,333.0
789,Cooking Essentials ,2900.0
